business_postal_code,inspection_score,inspection_type,violation_description,risk_category
94103,,Reinspection/Followup,,
94107,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,,Complaint,Unapproved or unmaintained equipment or utensils,Low Risk
94115,,Reinspection/Followup,,
94108,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94112,74.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94123,,New Ownership,,
94102,,New Ownership - Followup,,
94111,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94111,,New Ownership,,
94133,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94121,,Non-inspection site visit,,
94102,,Complaint,Inadequate and inaccessible handwashing facilities,Moderate Risk
94121,,Reinspection/Followup,,
94110,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94110,,Reinspection/Followup,,
94110,,New Ownership - Followup,,
94103,,Complaint,,
94122,,Reinspection/Followup,,
94103,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94102,,Complaint,,
94105,,Reinspection/Followup,,
94112,90.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94103,,Non-inspection site visit,Improper cooling methods,High Risk
94122,,Reinspection/Followup,,
94117,87.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94118,,Reinspection/Followup,,
94133,92.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94107,,Complaint,,
94103,,New Ownership,,
94102,89.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94103,,Complaint,High risk vermin infestation,High Risk
94115,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94111,,Reinspection/Followup,,
94102,100.0,Routine - Unscheduled,,
94112,,Reinspection/Followup,,
94103,90.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94111,74.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94102,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94133,90.0,Routine - Unscheduled,Improper food storage,Low Risk
94114,,Reinspection/Followup,,
94124,,Structural Inspection,,
94104,,Reinspection/Followup,,
94110,,Reinspection/Followup,,
94104,,Reinspection/Followup,,
94108,74.0,Routine - Unscheduled,Other low risk violation,Low Risk
94110,,Complaint Reinspection/Followup,,
94121,86.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94105,100.0,Routine - Unscheduled,,
94122,84.0,Routine - Unscheduled,Inadequate procedures or records for time as a public health control,Moderate Risk
94124,100.0,Routine - Unscheduled,,
94132,,Structural Inspection,,
94124,88.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94109,85.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94124,,New Ownership,,
94102,,Reinspection/Followup,,
94121,,New Ownership - Followup,,
94122,100.0,Routine - Unscheduled,,
94103,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94133,,New Ownership,Unapproved or unmaintained equipment or utensils,Low Risk
94111,,Reinspection/Followup,,
94132,,New Construction,,
94118,77.0,Routine - Unscheduled,Improper cooling methods,High Risk
94107,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94118,85.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94105,85.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94123,,New Ownership,,
94133,,New Ownership,,
94105,87.0,Routine - Unscheduled,Improper food storage,Low Risk
94107,,New Construction,,
94107,91.0,Routine - Unscheduled,Improper food storage,Low Risk
94112,,Non-inspection site visit,,
94114,,Reinspection/Followup,,
94158,,Routine - Scheduled,,
94109,,New Ownership,Unapproved or unmaintained equipment or utensils,Low Risk
94108,85.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94116,,New Ownership - Followup,,
94108,,Complaint,,
94133,,New Ownership,High risk food holding temperature,High Risk
94105,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94121,,Structural Inspection,,
94118,,New Ownership,,
94114,,Reinspection/Followup,,
94133,77.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94134,,Complaint,,
94122,,Reinspection/Followup,,
94110,,New Ownership,,
94105,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94114,86.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94133,,New Ownership,,
94121,,Reinspection/Followup,,
94102,,New Ownership,,
94112,,Reinspection/Followup,,
94115,,Reinspection/Followup,,
94107,89.0,Routine - Unscheduled,Noncompliance with HAACP plan or variance,Moderate Risk
94124,,New Ownership,,
94121,,Reinspection/Followup,,
94122,90.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,,New Ownership,,
94109,,New Ownership - Followup,High risk food holding temperature,High Risk
94109,100.0,Routine - Unscheduled,,
94123,,New Ownership,,
94112,,Reinspection/Followup,,
94105,,Reinspection/Followup,,
94110,,New Ownership,,
94114,94.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94110,79.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94130,,Structural Inspection,,
94133,77.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94124,,New Ownership,,
94133,,Foodborne Illness Investigation,,
94108,,Non-inspection site visit,,
94108,94.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94107,89.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94102,94.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94110,,Complaint Reinspection/Followup,,
94121,,Reinspection/Followup,,
94104,,Reinspection/Followup,,
94107,100.0,Routine - Unscheduled,,
94103,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94124,,Reinspection/Followup,,
94103,100.0,Routine - Unscheduled,,
94102,94.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94109,,Reinspection/Followup,,
94123,91.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94105,90.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94110,,Reinspection/Followup,,
94118,,Complaint,,
94109,,Reinspection/Followup,,
94103,,Reinspection/Followup,,
94107,,New Ownership,,
94121,,Reinspection/Followup,,
94132,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94102,,Complaint,Improper cooling methods,High Risk
94108,,Reinspection/Followup,,
94124,,Non-inspection site visit,,
94133,,New Ownership - Followup,,
94103,,New Ownership,,
94109,,Reinspection/Followup,,
94109,91.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94102,86.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94107,88.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94108,67.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94121,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94116,96.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94110,,Reinspection/Followup,,
94109,92.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94112,,New Ownership,,
94112,,Non-inspection site visit,,
94109,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94108,80.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94111,92.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94107,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94102,100.0,Routine - Unscheduled,,
94111,,Reinspection/Followup,,
94108,,Non-inspection site visit,,
94108,80.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94112,93.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94102,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94108,,Reinspection/Followup,,
94104,,Complaint,,
94110,,New Ownership,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94103,,New Construction,,
94107,,Reinspection/Followup,,
94110,,New Ownership,,
94109,91.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94107,85.0,Routine - Unscheduled,Improper cooling methods,High Risk
94121,84.0,Routine - Unscheduled,Improper food storage,Low Risk
94110,,Reinspection/Followup,Noncompliance with HAACP plan or variance,Moderate Risk
94102,,Reinspection/Followup,,
94133,,Reinspection/Followup,,
94112,,Reinspection/Followup,,
94109,93.0,Routine - Unscheduled,Improper cooling methods,High Risk
94110,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94133,,Foodborne Illness Investigation,Unclean nonfood contact surfaces,Low Risk
94110,,New Ownership,,
94102,88.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94102,,New Ownership,,
94112,100.0,Routine - Unscheduled,,
94110,96.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94123,,Reinspection/Followup,,
94111,85.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94107,,New Ownership,,
94122,79.0,Routine - Unscheduled,No hot water or running water,High Risk
94107,83.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94134,74.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94112,,Non-inspection site visit,,
94122,70.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94108,80.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94108,,Reinspection/Followup,,
94105,74.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94104,,Reinspection/Followup,,
94108,90.0,Routine - Unscheduled,Other low risk violation,Low Risk
94103,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94103,77.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94102,78.0,Routine - Unscheduled,Improper cooling methods,High Risk
94109,83.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94111,78.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94111,72.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94116,,Complaint,Low risk vermin infestation,Low Risk
94118,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94102,90.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94114,83.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94111,,Reinspection/Followup,,
94103,,New Ownership,,
94110,83.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94112,83.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94127,90.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94109,,New Ownership - Followup,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,,New Ownership,Improper thawing methods,Moderate Risk
94112,82.0,Routine - Unscheduled,Unapproved  living quarters in food facility,Low Risk
94103,,New Ownership,,
94102,88.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94158,,New Ownership,,
94110,,New Ownership,,
94105,,Complaint,,
94110,90.0,Routine - Unscheduled,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
94115,,New Ownership,,
94103,,Complaint,Improper cooling methods,High Risk
94133,,New Construction,,
94102,82.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,78.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94110,72.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94108,80.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94110,100.0,Routine - Unscheduled,,
94105,72.0,Routine - Unscheduled,Inadequate HACCP plan record keeping,Low Risk
94105,,New Ownership,,
94110,,New Ownership,,
94133,,Reinspection/Followup,,
94109,65.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94118,,Reinspection/Followup,,
94124,,New Ownership,,
94110,,Non-inspection site visit,,
94134,100.0,Routine - Unscheduled,,
94105,,New Ownership,,
94118,,New Ownership - Followup,High risk food holding temperature,High Risk
94112,,New Ownership - Followup,,
94108,80.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94121,,Reinspection/Followup,,
94122,69.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94108,80.0,Routine - Unscheduled,Improper food storage,Low Risk
94122,69.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94110,72.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94110,90.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94110,72.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94114,88.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94103,,New Ownership,,
94107,,Reinspection/Followup,,
94109,,Reinspection/Followup,,
94102,87.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94124,,New Ownership,,
94110,,New Ownership - Followup,,
94104,,Reinspection/Followup,,
94122,69.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,88.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94110,83.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94117,88.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94108,,New Ownership,,
94115,90.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94110,,Reinspection/Followup,,
94109,,Non-inspection site visit,,
94109,,Reinspection/Followup,,
94127,80.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94109,,Reinspection/Followup,,
94109,,Complaint,,
94115,,Reinspection/Followup,,
94115,81.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94110,,New Ownership - Followup,,
94105,62.0,Routine - Unscheduled,No hot water or running water,High Risk
94122,,New Ownership,,
94115,90.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94103,,Non-inspection site visit,,
94105,,Structural Inspection,,
94108,80.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94123,,New Construction,,
94110,,Reinspection/Followup,,
94102,94.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94121,90.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94107,94.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94108,,New Ownership,,
94117,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94118,,Reinspection/Followup,,
94123,94.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk
94110,88.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94118,,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94103,,New Ownership,,
94105,,Reinspection/Followup,,
94107,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94134,,Reinspection/Followup,,
94102,94.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,,New Construction,,
94134,82.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94102,81.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94103,100.0,Routine - Unscheduled,,
94122,69.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94108,87.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94131,89.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,83.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94133,98.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94114,,New Ownership,,
94111,,Reinspection/Followup,,
94134,,Reinspection/Followup,,
94122,69.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94115,,Reinspection/Followup,,
94115,90.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94112,,Reinspection/Followup,,
94107,,Reinspection/Followup,,
94103,,New Ownership,,
94121,,New Ownership - Followup,,
94107,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94103,89.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94131,87.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94102,,New Ownership,,
94102,,Reinspection/Followup,,
94112,92.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94107,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94105,85.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94102,91.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94111,,Reinspection/Followup,,
94103,,Reinspection/Followup,,
94110,,New Ownership,,
94123,98.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94108,,Reinspection/Followup,,
94104,,Reinspection/Followup,,
94114,,New Ownership,,
94133,62.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94122,94.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94110,72.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94132,,New Ownership - Followup,,
94105,,Structural Inspection,,
94133,,New Ownership - Followup,,
94118,80.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94103,,New Ownership,,
94105,92.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94114,86.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94109,98.0,Routine - Unscheduled,,
94115,81.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94131,,Reinspection/Followup,,
94103,72.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94158,83.0,Routine - Unscheduled,Mobile food facility not operating with an approved commissary,High Risk
94117,88.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94114,90.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94121,88.0,Routine - Unscheduled,Inadequate ventilation or lighting,Low Risk
94104,81.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94107,88.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94107,,New Ownership,,
94105,94.0,Routine - Unscheduled,,
94121,100.0,Routine - Unscheduled,,
94103,80.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94110,,New Ownership - Followup,,
94105,89.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94122,69.0,Routine - Unscheduled,No person in charge of food facility,Low Risk
94109,65.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94158,100.0,Routine - Unscheduled,,
94117,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94132,92.0,Routine - Unscheduled,Inadequate ventilation or lighting,Low Risk
94102,89.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94114,,New Ownership - Followup,,
94117,,New Ownership,,
94132,84.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94122,79.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94107,,New Ownership,,
94105,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94109,,New Ownership - Followup,,
94118,87.0,Routine - Unscheduled,Unauthorized or unsafe use of time as a public health control measure,High Risk
94109,65.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94109,92.0,Routine - Unscheduled,Improper food storage,Low Risk
94114,90.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94117,,Non-inspection site visit,,
94105,,New Ownership - Followup,,
94102,82.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94123,92.0,Routine - Unscheduled,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
94109,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94121,86.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94122,,New Ownership,,
94102,88.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94105,85.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94111,82.0,Routine - Unscheduled,Unauthorized or unsafe use of time as a public health control measure,High Risk
94103,88.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94121,75.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94104,100.0,Routine - Unscheduled,,
94116,85.0,Routine - Unscheduled,Improper food storage,Low Risk
94117,,Reinspection/Followup,,
94102,,New Ownership,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94108,,Non-inspection site visit,,
94108,92.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94122,,New Ownership,,
94110,83.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94116,91.0,Routine - Unscheduled,Improper cooling methods,High Risk
94110,,New Ownership - Followup,,
94105,82.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94104,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94103,,Complaint,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94118,91.0,Routine - Unscheduled,Other low risk violation,Low Risk
94121,81.0,Routine - Unscheduled,Improper food storage,Low Risk
94102,,Complaint,Other low risk violation,Low Risk
94102,,New Ownership,,
94103,,Reinspection/Followup,,
94105,94.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94121,90.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94103,85.0,Routine - Unscheduled,Improper cooling methods,High Risk
94102,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94112,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94115,80.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94107,,Reinspection/Followup,,
94111,80.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94109,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,94.0,Routine - Unscheduled,Improper food storage,Low Risk
94114,85.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94103,59.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94107,,Reinspection/Followup,,
94121,96.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94103,87.0,Routine - Unscheduled,Improper reheating of food,High Risk
94112,,Reinspection/Followup,Unclean or unsanitary food contact surfaces,High Risk
94158,,New Ownership,,
94134,82.0,Routine - Unscheduled,Sewage or wastewater contamination,High Risk
94133,88.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94109,65.0,Routine - Unscheduled,Improper cooling methods,High Risk
94121,81.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94133,100.0,Routine - Unscheduled,,
94103,,New Ownership,,
94121,77.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94105,89.0,Routine - Unscheduled,Improper cooling methods,High Risk
94114,,Reinspection/Followup,,
94118,,Reinspection/Followup,,
94133,92.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94124,81.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94123,88.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94132,88.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94117,88.0,Routine - Unscheduled,Improper food storage,Low Risk
94133,74.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94109,,Foodborne Illness Investigation,,
94110,78.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94111,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94121,85.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94133,75.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94122,,Reinspection/Followup,,
94103,,Reinspection/Followup,,
94110,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94104,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94124,90.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94111,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94110,,Structural Inspection,,
94102,93.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94107,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
